latitude,,longitude
40.4402687,,-79.94226167
40.44026866,,-79.94226173
40.44026861,,-79.94226179
40.44026856,,-79.94226185
40.44026852,,-79.9422619
40.44026848,,-79.94226193
40.44026844,,-79.94226196
40.44026839,,-79.94226199
40.44026835,,-79.94226201
40.44026831,,-79.94226202
40.44026828,,-79.94226206
40.44026825,,-79.94226209
40.4402682,,-79.94226214
40.44026814,,-79.94226219
40.4402681,,-79.94226224
40.44026804,,-79.94226231
40.44026798,,-79.94226238
40.44026792,,-79.94226244
40.44026785,,-79.94226254
40.44026777,,-79.94226264
40.44026769,,-79.94226274
40.44026759,,-79.94226286
40.44026747,,-79.94226298
40.44026734,,-79.9422631
40.44026719,,-79.94226325
40.44026703,,-79.94226339
40.44026686,,-79.94226353
40.4402667,,-79.94226366
40.44026654,,-79.9422638
40.44026639,,-79.94226395
40.44026624,,-79.94226411
40.44026609,,-79.94226427
40.44026593,,-79.94226442
40.44026576,,-79.94226457
40.44026558,,-79.94226472
40.44026539,,-79.94226486
40.44026521,,-79.94226503
40.44026502,,-79.94226521
40.44026487,,-79.94226537
40.44026471,,-79.94226554
40.44026456,,-79.9422657
40.44026442,,-79.94226584
40.4402643,,-79.94226597
40.44026419,,-79.94226613
40.44026408,,-79.94226627
40.44026398,,-79.9422664
40.44026389,,-79.94226651
40.44026381,,-79.94226662
40.44026372,,-79.94226674
40.44026363,,-79.94226685
40.44026352,,-79.94226695
40.44026341,,-79.94226705
40.4402633,,-79.94226714
40.44026319,,-79.94226723
40.44026312,,-79.94226729
40.44026309,,-79.94226732
40.44026307,,-79.94226734
40.44026305,,-79.94226735
40.44026305,,-79.94226738
40.44026302,,-79.94226743
40.44026299,,-79.94226747
40.44026294,,-79.94226754
40.44026289,,-79.94226759
40.44026282,,-79.94226766
40.4402627,,-79.9422678
40.44026248,,-79.94226801
40.44026214,,-79.94226831
40.44026163,,-79.94226873
40.44026101,,-79.94226939
40.4402602,,-79.94227021
40.44025923,,-79.9422712
40.44025813,,-79.94227238
40.4402569,,-79.94227367
40.44025569,,-79.942275
40.44025448,,-79.94227629
40.44025327,,-79.94227752
40.44025214,,-79.94227874
40.44025099,,-79.94227992
40.44024991,,-79.94228115
40.44024884,,-79.94228241
40.44024774,,-79.94228363
40.44024665,,-79.94228488
40.44024556,,-79.94228616
40.44024444,,-79.94228748
40.44024335,,-79.94228879
40.4402423,,-79.94229011
40.44024119,,-79.9422915
40.44024012,,-79.94229286
40.44023904,,-79.94229425
40.44023796,,-79.94229566
40.44023691,,-79.94229705
40.44023582,,-79.94229844
40.44023472,,-79.94229989
40.44023366,,-79.94230137
40.4402326,,-79.94230284
40.44023155,,-79.9423043
40.44023047,,-79.94230576
40.44022939,,-79.94230722
40.44022836,,-79.94230869
40.44022735,,-79.94231018
40.44022636,,-79.94231172
40.4402254,,-79.9423133
40.44022446,,-79.94231491
40.44022357,,-79.94231658
40.44022266,,-79.94231822
40.44022177,,-79.9423199
40.44022085,,-79.94232155
40.44021998,,-79.94232324
40.44021905,,-79.94232494
40.44021812,,-79.94232665
40.4402172,,-79.94232836
40.44021634,,-79.9423301
40.44021543,,-79.94233184
40.44021455,,-79.94233359
40.44021365,,-79.94233535
40.44021278,,-79.94233718
40.44021189,,-79.94233904
40.440211,,-79.94234089
40.44021014,,-79.94234277
40.44020926,,-79.94234469
40.44020842,,-79.94234661
40.44020757,,-79.94234857
40.44020673,,-79.94235061
40.44020593,,-79.94235266
40.4402051,,-79.94235473
40.44020428,,-79.94235686
40.44020348,,-79.94235897
40.44020268,,-79.94236114
40.44020187,,-79.94236341
40.44020111,,-79.94236571
40.44020036,,-79.94236805
40.44019958,,-79.9423704
40.44019887,,-79.94237286
40.44019816,,-79.94237538
40.44019745,,-79.9423779
40.44019682,,-79.94238058
40.44019615,,-79.94238329
40.44019553,,-79.94238608
40.44019489,,-79.94238899
40.44019424,,-79.94239191
40.44019361,,-79.94239489
40.44019298,,-79.94239791
40.44019234,,-79.94240099
40.44019164,,-79.94240415
40.44019099,,-79.94240737
40.44019038,,-79.94241065
40.44018974,,-79.94241402
40.44018908,,-79.94241747
40.44018843,,-79.942421
40.44018783,,-79.94242455
40.44018714,,-79.94242819
40.44018646,,-79.94243184
40.44018576,,-79.94243556
40.44018504,,-79.94243935
40.44018435,,-79.94244317
